tipo;dn;dn2;dn3;nps;od_mm;A;B;C;M;O;K_dim;E;E1;H;theta_deg;fT;K_fT;K;K_contraccion;K_expansion;referencia_K;nota
Codo 90° LR;15;;;1/2;21.3;38.0;;;;;;;;;;0.027;14;0.378;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;15;;;1/2;21.3;;16.0;;;;;;;;;0.027;16;0.432;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;20;;;3/4;26.7;38.0;;;;;;;;;;0.025;14;0.35;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;20;;;3/4;26.7;;19.0;;;;;;;;;0.025;16;0.4;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;25;;;1;33.4;38.0;;;;;;;;;;0.023;14;0.322;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;25;;;1;33.4;;22.0;;;;;;;;;0.023;16;0.368;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;32;;;1-1/4;42.2;48.0;;;;;;;;;;0.022;14;0.308;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;32;;;1-1/4;42.2;;25.0;;;;;;;;;0.022;16;0.352;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;40;;;1-1/2;48.3;57.0;;;;;;;;;;0.021;14;0.294;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;40;;;1-1/2;48.3;;29.0;;;;;;;;;0.021;16;0.336;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;50;;;2;60.3;76.0;;;;;;;;;;0.019;14;0.266;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;50;;;2;60.3;;35.0;;;;;;;;;0.019;16;0.304;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;65;;;2-1/2;73.0;95.0;;;;;;;;;;0.018;14;0.252;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;65;;;2-1/2;73.0;;44.0;;;;;;;;;0.018;16;0.288;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;80;;;3;88.9;114.0;;;;;;;;;;0.018;14;0.252;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;80;;;3;88.9;;51.0;;;;;;;;;0.018;16;0.288;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;90;;;3-1/2;101.6;133.0;;;;;;;;;;0.018;14;0.252;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;90;;;3-1/2;101.6;;57.0;;;;;;;;;0.018;16;0.288;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;100;;;4;114.3;152.0;;;;;;;;;;0.017;14;0.238;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;100;;;4;114.3;;64.0;;;;;;;;;0.017;16;0.272;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;125;;;5;141.3;190.0;;;;;;;;;;0.016;14;0.224;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;125;;;5;141.3;;79.0;;;;;;;;;0.016;16;0.256;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;150;;;6;168.3;229.0;;;;;;;;;;0.015;14;0.21;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;150;;;6;168.3;;95.0;;;;;;;;;0.015;16;0.24;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;200;;;8;219.1;305.0;;;;;;;;;;0.014;14;0.196;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;200;;;8;219.1;;127.0;;;;;;;;;0.014;16;0.224;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;250;;;10;273.0;381.0;;;;;;;;;;0.014;14;0.196;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;250;;;10;273.0;;159.0;;;;;;;;;0.014;16;0.224;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;300;;;12;323.8;457.0;;;;;;;;;;0.013;14;0.182;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;300;;;12;323.8;;190.0;;;;;;;;;0.013;16;0.208;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;350;;;14;355.6;533.0;;;;;;;;;;0.013;14;0.182;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;350;;;14;355.6;;222.0;;;;;;;;;0.013;16;0.208;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;400;;;16;406.4;610.0;;;;;;;;;;0.013;14;0.182;;;Crane A-24: 14 fT (r/d = 1,5);
Codo 45° LR;400;;;16;406.4;;254.0;;;;;;;;;0.013;16;0.208;;;Crane A-24: codo 45° estándar 16 fT;"Crane no tabula el codo 45° soldado; se adopta el valor del codo 45° estándar (conservador)"
Codo 90° LR;450;;;18;457;686.0;;;;;;;;;;0.012;14;0.168;;;Crane A-24: 14 fT (r/d = 1,5);
