fabricante;serie;rating;tamano;dn;cv_10;cv_20;cv_30;cv_40;cv_50;cv_60;cv_70;cv_80;cv_90;fuente
Crane / Center Line;Series 200 / Gem / Quartermaster;—;2;50;0.06;3;7;15;27;44;70;105;115;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;2-1/2;65;0.1;6;12;25;45;75;119;178;196;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;3;80;0.2;9;18;39;70;116;183;275;302;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;4;100;0.3;17;36;78;139;230;364;546;600;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;5;125;0.5;29;61;133;237;392;620;930;1022;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;6;150;0.8;45;95;205;366;605;958;1437;1579;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;8;200;2;89;188;408;727;1202;1903;2854;3136;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;10;250;3;151;320;694;1237;2047;3240;4859;5340;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;12;300;4;234;495;1072;1911;3162;5005;7507;8250;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;14;350;6;338;715;1549;2761;4568;7230;10844;11917;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;16;400;8;464;983;2130;3797;6282;9942;14913;16388;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;18;450;11;615;1302;2822;5028;8320;13168;19752;21705;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;20;500;14;791;1674;3628;6465;10698;16931;25396;27908;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;24;600;22;1222;2587;5605;9989;16528;26157;39236;43116;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Series 200 / Gem / Quartermaster;—;30;750;37;2080;4406;9546;17010;28147;44545;66818;73426;"Butterfly Valves 200.pdf p.4; Butterfly Valves (1).pdf p.5/10"
Crane / Center Line;Monarch;—;2;50;0.06;3;7;15;27;44;70;105;115;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;2-1/2;65;0.1;6;12;25;45;75;119;178;196;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;3;80;0.2;9;18;39;70;116;183;275;302;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;4;100;0.3;17;36;78;139;230;364;546;600;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;5;125;0.5;29;61;133;237;392;620;930;1022;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;6;150;0.8;34;94;153;257;422;706;1154;1320;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;8;200;2;56;154;251;422;693;1158;1892;2165;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;10;250;3;87;238;385;654;1073;1794;2931;3353;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;12;300;4;153;417;681;1145;1879;3142;5132;5827;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;14;350;6;183;500;816;1372;2252;3765;6150;7037;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;16;400;8;271;740;1208;2031;3333;5573;9104;10416;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;18;450;11;318;867;1417;2382;3909;6535;10676;12215;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;20;500;14;415;1133;1851;3112;5107;8538;13948;15959;Butterfly Valves (1).pdf p.14
Crane / Center Line;Monarch;—;24;600;22;543;1482;2421;4069;6678;11165;18240;20869;Butterfly Valves (1).pdf p.14
Flowseal (Crane);Soft Seat HPBV;ASME 150;2;50;1.5;6;14;25;39;56;76;99;102;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;2-1/2;65;2.2;9;21;37;56;80;110;142;146;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;3;80;3.4;14;32;57;87;125;171;221;228;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;3-1/2;90;5.3;21;49;88;132;192;261;338;349;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;4;100;6.8;27;63;114;171;248;338;437;451;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;5;125;10.8;43;100;180;271;392;535;692;714;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;6;150;16.5;66;154;278;419;607;827;1070;1103;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;8;200;30.9;124;289;520;784;1135;1584;2002;2064;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;10;250;52.8;211;492;886;1336;1934;2638;3411;3517;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;12;300;72.6;290;677;1219;1838;2660;3628;4690;4837;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;14;350;90;392;914;1646;2481;3592;4898;6530;6857;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;16;400;132;531;1230;2229;3361;4865;6634;8845;9287;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;18;450;171;684;1596;2873;4332;6270;8550;11270;11400;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;20;500;207;828;1932;3478;5244;7590;10350;13800;14420;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;24;600;315;1260;2940;5292;7890;11550;15750;21000;22050;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;30;750;491;1965;4585;8253;12445;18012;24563;32750;34388;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;36;900;707;2830;6602;11884;17920;25938;35370;45745;47160;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;42;1050;963;3851;8987;16176;24392;35304;48143;62264;64190;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 150;48;1200;1258;5030;11738;21128;31859;46111;62881;81324;83840;"Soft seat butterfly Valves.pdf p.5 (18"" 40°: catálogo 3873, corregido a 2873)"
Flowseal (Crane);Soft Seat HPBV;ASME 300;2;50;1.4;6;13;24;36;52;71;95;100;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;2-1/2;65;2.1;8;19;34;52;75;102;136;143;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;3;80;3.2;13;30;53;81;117;159;212;223;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;3-1/2;90;4.8;19;45;80;121;176;240;320;336;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;4;100;6.2;25;58;104;157;228;310;414;435;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;5;125;9.8;40;92;165;248;361;491;655;688;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;6;150;14.9;60;139;250;377;546;744;992;1041;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;8;200;27.3;109;255;459;692;1001;1365;1820;1911;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;10;250;45.6;183;426;767;1156;1673;2282;3042;3194;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;12;300;63.3;253;590;1063;1602;2319;3163;4217;4428;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;14;350;81;326;760;1368;2063;2986;4072;5430;5702;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;16;400;109;435;1015;1827;2755;3988;5438;7850;8243;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;18;450;139;555;1295;2331;3515;5088;6938;9250;9712;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;20;500;158;630;1470;2646;3990;5775;7875;10150;10658;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;24;600;242;966;2254;4057;6118;8855;12075;16100;16205;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 300;30;750;404;1614;3766;6779;10222;14795;20175;26900;28245;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;2;50;1.4;5;13;23;35;51;70;90;93;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;2-1/2;65;2.0;8;19;33;51;73;100;130;133;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;3;80;3.1;12;29;52;79;114;156;202;208;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;4;100;5.8;23;54;98;147;213;290;375;387;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;6;150;14.7;59;137;247;372;538;734;950;979;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;8;200;26.8;107;250;451;679;983;1341;1734;1788;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;10;250;41.2;165;384;692;1044;1511;2060;2665;2747;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;12;300;58.4;233;545;981;1479;2140;2918;3774;3891;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;14;350;73;292;682;1228;1838;2680;3655;4727;4873;Soft seat butterfly Valves.pdf p.5
Flowseal (Crane);Soft Seat HPBV;ASME 600;16;400;96;385;899;1619;2423;3533;4818;6231;6424;Soft seat butterfly Valves.pdf p.5
FMC;Type A11;ASME 600;30;750;420;1260;2380;3920;6440;9380;11600;13000;14000;Butterfly Valve Type A11.PDF p.3
FMC;Type A11;ASME 600;36;900;624;1870;3540;5820;9570;13900;17300;19300;20800;Butterfly Valve Type A11.PDF p.3
FMC;Type A11;ASME 600;42;1050;716;2150;4050;6680;11000;16000;19800;22200;23900;Butterfly Valve Type A11.PDF p.3
