tipo;fabricante;serie;paso;rating;tamano;dn;cv;kv;k;d_ref;d_ref_mm;fuente;nota
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);1/4;8;8;6.92;0.25;Sch40;9.3;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);3/8;10;8;6.92;0.817;Sch40;12.5;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);1/2;15;20;17.3;0.325;Sch40;15.7;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);3/4;20;44;38.06;0.211;Sch40;20.9;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);1;25;78;67.47;0.176;Sch40;26.6;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);1-1/4;32;85;73.53;0.445;Sch40;35.0;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);1-1/2;40;215;185.99;0.13;Sch40;40.9;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);2;50;395;341.7;0.104;Sch40;52.5;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);2-1/2;65;700;605.54;0.067;Sch40;62.6;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);3;80;1031;891.87;0.074;Sch40;77.9;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Tyco;Figure F803;Total;Brida (ver catálogo);4;100;1836;1588.24;0.07;Sch40;102.3;Ball Valve F803.pdf, p.2;"Cv 1-1/4"" (85) muy próximo a 1"" (78) con paso 1,25"" vs 0,98"": posible errata del catálogo"
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;1/2;15;12;10.38;0.903;Sch40;15.7;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;3/4;20;50;43.25;0.163;Sch40;20.9;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;1;25;100;86.51;0.107;Sch40;26.6;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;1-1/2;40;250;216.26;0.096;Sch40;40.9;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;2;50;430;371.97;0.088;Sch40;52.5;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;2-1/2;65;720;622.84;0.063;Sch40;62.6;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;3;80;1020;882.35;0.076;Sch40;77.9;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;4;100;2000;1730.1;0.059;Sch40;102.3;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;6;150;5500;4757.79;0.04;Sch40;154.1;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;8;200;9800;8477.51;0.038;Sch40;202.7;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;10;250;16400;14186.85;0.033;Sch40;254.4;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;12;300;23800;20588.24;0.032;Sch40;303.3;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;14;350;27500;23788.93;0.035;Sch40;333.4;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;16;400;36000;31141.87;0.035;Sch40;381.0;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;18;450;46000;39792.39;0.034;Sch40;428.6;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;20;500;57000;49307.96;0.034;Sch40;477.8;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Total;ASME 150/300/600;24;600;75000;64878.89;0.042;Sch40;574.8;Seal Ball Valves.pdf, p.13;
Bola;Velan;Memory Seal SB-150/300/600;Reducido;ASME 150/300/600;2;50;130;112.46;0.962;Sch40;52.5;Seal Ball Valves.pdf, p.15;"Cv 14"" (5200) < Cv 12"" (6700): incoherencia del catálogo, verificar con Velan"
Bola;Velan;Memory Seal SB-150/300/600;Reducido;ASME 150/300/600;3;80;250;216.26;1.26;Sch40;77.9;Seal Ball Valves.pdf, p.15;"Cv 14"" (5200) < Cv 12"" (6700): incoherencia del catálogo, verificar con Velan"
Bola;Velan;Memory Seal SB-150/300/600;Reducido;ASME 150/300/600;4;100;540;467.13;0.804;Sch40;102.3;Seal Ball Valves.pdf, p.15;"Cv 14"" (5200) < Cv 12"" (6700): incoherencia del catálogo, verificar con Velan"
Bola;Velan;Memory Seal SB-150/300/600;Reducido;ASME 150/300/600;6;150;770;666.09;2.04;Sch40;154.1;Seal Ball Valves.pdf, p.15;"Cv 14"" (5200) < Cv 12"" (6700): incoherencia del catálogo, verificar con Velan"
Bola;Velan;Memory Seal SB-150/300/600;Reducido;ASME 150/300/600;8;200;1900;1643.6;1.0;Sch40;202.7;Seal Ball Valves.pdf, p.15;"Cv 14"" (5200) < Cv 12"" (6700): incoherencia del catálogo, verificar con Velan"
